"Waterbody","Species","Month","Day of Week","Time of Day","Mean Fishing Effort","SE for Mean Fishing Effort","Total Fishing Effort","SE for Total Fishing Effort","Mean HarvestORCatch","SE for Mean HarvestORCatch","Total HarvestORCatch","SE for Total HarvestORCatch","Mean Number of Angler Trips","SE for Mean Number of Angler Trips","Total Number of Angler Trips","SE for Total Number of Angler Trips","Mean HarvestORCatch Per Unit Effort"
"East Canyon Res","rbt",4,"wd","am",16.7222222222222,7,351.166666666667,147,5.83333333333333,5.71547606649408,122.5,120.024997396376,2.59259259259259,1.00421009131583,54.4444444444444,21.0884119176325,0.333333333333333
"East Canyon Res","rbt",4,"wd","pm",23.3333333333333,11.3227074369915,490,237.776856176823,11.3496376811594,3.41590087581943,238.342391304348,71.7339183922081,3.38586956521739,1.79526615942329,71.1032608695652,37.700589347889,0.556159420289855
"East Canyon Res","rbt",4,"we","am",143.5,26.5785000830872,1291.5,239.206500747785,105.83435483871,67.3578422469442,952.509193548387,606.220580222498,22.558064516129,10.2014349356757,203.022580645161,91.8129144210816,0.671129032258065
"East Canyon Res","rbt",4,"we","pm",138.833333333333,56.5576020149282,1249.5,509.018418134354,75.5302141764406,38.0760715160902,679.771927587965,342.684643644811,20.3104708482067,9.08653083496137,182.79423763386,81.7787775146523,0.515425803161652
"East Canyon Res","rbt",5,"wd","am",125.833333333333,38.2465373471589,2642.5,803.177284290337,54.4602932636469,15.3658318894269,1143.66615853659,322.682469677965,22.4625858981804,6.48778080644821,471.714303861789,136.243396935412,0.462325783972125
"East Canyon Res","rbt",5,"wd","pm",68.3333333333333,9.58980113006968,1435,201.385823731463,36.6446861635721,5.60992708204867,769.538409435015,117.808468723022,10.5990700362625,4.21984570760773,222.580470761511,88.6167598597623,0.556272744176163
"East Canyon Res","rbt",5,"we","am",441.25,79.710413372407,4412.5,797.10413372407,126.314102564103,38.8224654489438,1263.14102564103,388.224654489438,73.9700854700855,19.8542168433512,739.700854700855,198.542168433512,0.282051282051282
"East Canyon Res","rbt",5,"we","pm",131.25,119.629636796239,1312.5,1196.29636796239,20.5212550607287,19.1313832882905,205.212550607287,191.313832882905,12.1302294197031,10.7904776053036,121.302294197031,107.904776053036,0.117408906882591
"East Canyon Res","rbt",6,"wd","am",112.5,20.5119144977653,2475,451.262118950838,3.77782141921969,2.17910772012032,83.1120712228332,47.940369842647,18.1794972505892,3.78768256470626,399.948939512961,83.3290164235377,0.0311599895260539
"East Canyon Res","rbt",6,"wd","pm",129.166666666667,31.3858159754441,2841.66666666667,690.487951459771,6.83042973286876,3.03600167883022,150.269454123113,66.7920369342649,21.9396051103368,8.12584103691295,482.67131242741,178.768502812085,0.0496649691771643
"East Canyon Res","rbt",6,"we","am",445,55.1749112671088,3560,441.399290136871,45.1510746435801,15.2519595007278,361.208597148641,122.015676005823,99.0829995262092,22.7192362324462,792.663996209674,181.753889859569,0.0955344958540682
"East Canyon Res","rbt",6,"we","pm",262.5,NA,2100,NA,22.2457627118644,NA,177.966101694915,NA,24.4703389830508,NA,195.762711864407,NA,0.0847457627118644
