"Waterbody","Species","Month","Day of Week","Mean Fishing Effort","SE for Mean Fishing Effort","Total Fishing Effort","SE for Total Fishing Effort","Mean HarvestORCatch","SE for Mean HarvestORCatch","Total HarvestORCatch","SE for Total HarvestORCatch","Mean Number of Angler Trips","SE for Mean Number of Angler Trips","Total Number of Angler Trips","SE for Total Number of Angler Trips","Mean HarvestORCatch Per Unit Effort"
"East Canyon Res","rbt",4,"wd",20.0277777777778,4.48428325335234,841.166666666667,188.339896640798,1.59782608695652,0.391255074341897,67.1086956521739,16.4327131223597,2.98923107890499,0.697788696661115,125.54770531401,29.3071252597668,0.11522633744856
"East Canyon Res","rbt",4,"we",141.166666666667,22.0940574938876,2541,397.693034889976,31.5119890828138,11.0094509306987,567.215803490648,198.170116752577,21.4342676821679,4.83004033836066,385.816818279022,86.9407260904919,0.191598069826852
"East Canyon Res","rbt",5,"wd",97.0833333333333,11.3825960160014,4077.5,478.069032672061,31.013132277754,5.22378897176109,1302.55155566567,219.399136813966,16.5308279672214,2.23417392616998,694.2947746233,93.835304899139,0.305064496257164
"East Canyon Res","rbt",5,"we",286.25,50.8244527761982,5725,1016.48905552396,57.3289473684211,8.80000951625706,1146.57894736842,176.000190325141,43.0501574448943,7.98924537592075,861.003148897886,159.784907518415,0.135564045509887
"East Canyon Res","rbt",6,"wd",120.833333333333,11.6052337294785,5316.66666666667,510.630284097053,4.20025308995094,1.21973655647032,184.811135957841,53.668408484694,20.059551180463,2.70106616872005,882.620251940372,118.846911423682,0.0322190898107129
"East Canyon Res","rbt",6,"we",353.75,NA,5660,NA,23.3057974394858,NA,372.892759031773,NA,61.7766692546301,NA,988.426708074081,NA,0.0665831177231565
"East Canyon Res","rbt",7,"wd",82.8333333333333,9.07226662601685,3313.33333333333,362.890665040674,6.03529194382853,2.2453421902549,241.411677753141,89.8136876101961,16.1305061356891,1.91164062393891,645.220245427562,76.4656249575563,0.104007551703424
"East Canyon Res","rbt",7,"we",234.85,17.4106136947935,5166.7,383.033501285457,26.4334937859115,4.15108511327082,581.536863290053,91.3238724919581,36.5229162651111,2.80651579864015,803.504157832445,61.7433475700832,0.0912334646025338
"East Canyon Res","rbt",8,"wd",66.8888888888889,9.15072297143685,3076.88888888889,420.933256686095,17.9765070921986,4.53566616443522,826.919326241135,208.64064356402,10.94518321513,0.872200546039785,503.478427895981,40.1212251178301,0.174192285249225
"East Canyon Res","rbt",8,"we",213.111111111111,13.5242599426322,3409.77777777778,216.388159082115,14.7022268586229,2.32270312329416,235.235629737967,37.1632499727065,31.0010167164128,2.29240009347402,496.016267462604,36.6784014955843,0.0713779584645395
"East Canyon Res","rbt",9,"wd",45.3333333333333,5.92412340310683,1904,248.813182930487,5.79394524959742,0.658692355691588,243.345700483092,27.6650789390467,11.2073603369256,1.4979840688927,470.709134150873,62.9153308934934,0.110335804622765
"East Canyon Res","rbt",9,"we",154.5,15.8779342578402,2781,285.802816641124,11.4164995119007,1.83013821132026,205.496991214213,32.9424878037646,24.6872792713326,2.40241843717801,444.371026883987,43.2435318692043,0.0621321171428648
"East Canyon Res","bnt",4,"wd",20.0277777777778,4.48428325335234,841.166666666667,188.339896640798,0,0,0,0,2.98923107890499,0.697788696661115,125.54770531401,29.3071252597668,0
"East Canyon Res","bnt",4,"we",141.166666666667,22.0940574938876,2541,397.693034889976,0,0,0,0,21.4342676821679,4.83004033836066,385.816818279022,86.9407260904919,0
"East Canyon Res","bnt",5,"wd",97.0833333333333,11.3825960160014,4077.5,478.069032672061,0.292553191489362,0.16956184039939,12.2872340425532,7.12159729677439,16.5308279672214,2.23417392616998,694.2947746233,93.835304899139,0.00224010155127032
"East Canyon Res","bnt",5,"we",286.25,50.8244527761982,5725,1016.48905552396,0,0,0,0,43.0501574448943,7.98924537592075,861.003148897886,159.784907518415,0
"East Canyon Res","bnt",6,"wd",120.833333333333,11.6052337294785,5316.66666666667,510.630284097053,0,0,0,0,20.059551180463,2.70106616872005,882.620251940372,118.846911423682,0
"East Canyon Res","bnt",6,"we",353.75,NA,5660,NA,0,NA,0,NA,61.7766692546301,NA,988.426708074081,NA,0
