"Waterbody","Month","Day of Week","Time of Day","Mean Fishing Effort","SE for Mean Fishing Effort","Total Fishing Effort","SE for Total Fishing Effort","Mean HarvestORCatch","SE for Mean HarvestORCatch","Total HarvestORCatch","SE for Total HarvestORCatch","Mean Number of Angler Trips","SE for Mean Number of Angler Trips","Total Number of Angler Trips","SE for Total Number of Angler Trips","Mean HarvestORCatch Per Unit Effort"
"Moon Lake",5,"wd","ampm",2.5,1.74756323854883,55,38.4463912480742,0,0,0,0,1.66666666666667,1.54886729547431,36.6666666666667,34.0750805004348,0
"Moon Lake",5,"we","ampm",67.5,48.9578900689154,607.5,440.621010620238,1.47804054054054,1.46382225322251,13.3023648648649,13.1744002790026,11.9366145725879,8.39261147554541,107.429531153291,75.5335032799087,0.00804375804375804
"Moon Lake",6,"wd","ampm",112,16.0467154278809,2128,304.887593129738,4.73118279569892,4.51530101066215,89.8924731182796,85.7907192025808,20.0084961494294,4.89792789521108,380.161426839159,93.0606300090105,0.0537634408602151
"Moon Lake",6,"we","ampm",130.666666666667,45.8558126692304,1306.66666666667,458.558126692304,15.8574608090179,9.53135747974308,158.574608090179,95.3135747974308,23.8832120127713,9.84095454931841,238.832120127713,98.4095454931841,0.106942012994091
"Moon Lake",7,"wd","ampm",51.25,14.9670691150518,973.75,284.374313185984,0,0,0,0,7.77715588723051,4.09604912777656,147.76596185738,77.8249334277547,0
"Moon Lake",7,"we","ampm",43.75,27.8612634315101,437.5,278.612634315101,3.2707622298066,3.33696712716041,32.707622298066,33.3696712716041,8.1769055745165,8.69224841142089,81.769055745165,86.9224841142089,0.0379218809252939
"Moon Lake",8,"wd","ampm",28,15.5157703783854,644,356.862718702865,0,0,0,0,10.8165633935331,2.85130834991289,248.780958051262,65.5800920479965,0
"Moon Lake",8,"we","ampm",84,28.5744033669607,672,228.595226935686,2.54015885561769,1.82301249567825,20.3212708449415,14.584099965426,19.3715867811059,7.93382071993819,154.972694248847,63.4705657595055,0.0704094337636136
"Moon Lake",9,"wd","ampm",5.41666666666667,3.47947196370352,102.916666666667,66.1099673103669,3.03333333333333,2.78357757096282,57.6333333333333,52.8879738482935,0.433333333333333,0.397653938708974,8.23333333333333,7.5554248354705,0.933333333333333
"Moon Lake",9,"we","ampm",52,23.115214282224,572,254.267357104464,0,0,0,0,2.38691370388917,2.18331459753342,26.2560507427808,24.0164605728676,0
"Moon Lake",10,"wd","ampm",0,0,0,0,0,0,0,0,0,0,0,0,0
"Moon Lake",10,"we","ampm",1.83333333333333,2.59272486435067,16.5,23.3345237791561,0,0,0,0,1.3681592039801,1.11709731221455,12.3134328358209,10.053875809931,0
"Moon Lake",11,"wd","ampm",0,0,0,0,0,0,0,0,0,0,0,0,0
"Moon Lake",11,"we","ampm",2.5,3.44601218802256,25,34.4601218802256,0,0,0,0,0,0,0,0,0
